No.     Time           Source                Destination           Protocol Length Info
    119 6.202650000    203.112.217.163       192.168.0.148         TCP      305    [TCP segment of a reassembled PDU]
    120 6.202892000    192.168.0.148         203.112.217.163       TCP      54     55638 > http [ACK] Seq=435 Ack=252 Win=65535 Len=0
    121 6.203294000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    122 6.285248000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    123 6.285404000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    124 6.285504000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=24821 Win=65535 Len=0
    125 6.285657000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    126 6.285968000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    127 6.286044000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=7554 Win=65535 Len=0
    128 6.292600000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    129 6.292743000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    130 6.292843000    192.168.0.148         203.112.217.163       TCP      54     55636 > http [ACK] Seq=409 Ack=7570 Win=65535 Len=0
    131 6.310287000    192.168.0.148         203.112.217.163       TCP      54     55638 > http [ACK] Seq=435 Ack=1712 Win=65535 Len=0
    144 6.411530000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=26281 Win=65535 Len=0
    172 6.658749000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    173 6.658892000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    174 6.659001000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=29201 Win=65535 Len=0
    175 6.659199000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    176 6.659523000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    177 6.659610000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=32121 Win=65535 Len=0
    178 6.659819000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    179 6.659892000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=33581 Win=65535 Len=0
    180 6.660130000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    181 6.660447000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    182 6.660522000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=10474 Win=65535 Len=0
    183 6.660762000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    184 6.660853000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=11934 Win=65535 Len=0
    185 6.662554000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    186 6.662794000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    187 6.662855000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=36501 Win=65535 Len=0
    188 6.663015000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    192 6.679986000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    193 6.680149000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    194 6.680259000    192.168.0.148         203.112.217.163       TCP      54     55636 > http [ACK] Seq=409 Ack=10490 Win=65535 Len=0
    195 6.680423000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    196 6.680508000    192.168.0.148         203.112.217.163       TCP      54     55636 > http [ACK] Seq=409 Ack=11950 Win=65535 Len=0
    197 6.701825000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    198 6.701831000    203.112.217.163       192.168.0.148         HTTP     405    HTTP/1.1 200 OK  (text/css)
    199 6.701977000    192.168.0.148         203.112.217.163       TCP      54     55638 > http [ACK] Seq=435 Ack=3524 Win=65535 Len=0
    200 6.702821000    192.168.0.148         203.112.217.163       TCP      54     55638 > http [FIN, ACK] Seq=435 Ack=3524 Win=65535 Len=0
    212 6.762445000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    213 6.762699000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=39421 Win=65535 Len=0
    214 6.763024000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    215 6.763403000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    216 6.763504000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=42341 Win=65535 Len=0
    217 6.763662000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    218 6.763968000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    219 6.764043000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=14854 Win=65535 Len=0
    220 6.764284000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    226 6.778362000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    227 6.780653000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    228 6.780765000    192.168.0.148         203.112.217.163       TCP      54     55636 > http [ACK] Seq=409 Ack=14870 Win=65535 Len=0
    229 6.780914000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    230 6.781052000    203.112.217.163       192.168.0.148         HTTP     447    HTTP/1.1 200 OK  (application/x-javascript)
    232 6.781159000    192.168.0.148         203.112.217.163       TCP      54     55636 > http [ACK] Seq=409 Ack=16724 Win=65535 Len=0
    233 6.781784000    192.168.0.148         203.112.217.163       TCP      54     55636 > http [FIN, ACK] Seq=409 Ack=16724 Win=65535 Len=0
    243 6.890979000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    244 6.891172000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    245 6.891239000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=45261 Win=65535 Len=0
    247 6.914312000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=16314 Win=65535 Len=0
    248 7.235392000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    249 7.235664000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    250 7.235742000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=48181 Win=65535 Len=0
    251 7.236084000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    252 7.236435000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    253 7.236497000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=51101 Win=65535 Len=0
    254 7.236960000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    255 7.237039000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=52561 Win=65535 Len=0
    256 7.237451000    203.112.217.163       192.168.0.148         HTTP     1064   Continuation or non-HTTP traffic
    257 7.237522000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=53571 Win=65535 Len=0
    258 7.237849000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    259 7.237911000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=17774 Win=65535 Len=0
    260 7.238411000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    261 7.238752000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    262 7.238815000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=20694 Win=65535 Len=0
    263 7.239331000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    264 7.239765000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    265 7.239808000    203.112.217.163       192.168.0.148         HTTP     60     Continuation or non-HTTP traffic
    266 7.239816000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=23614 Win=65535 Len=0
    267 7.239891000    203.112.217.163       192.168.0.148         TCP      60     http > 55630 [FIN, ACK] Seq=53576 Ack=334 Win=6432 Len=0
    268 7.239913000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=53576 Win=65535 Len=0
    269 7.239928000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=53577 Win=65535 Len=0
    270 7.239990000    203.112.217.163       192.168.0.148         TCP      60     http > 55638 [ACK] Seq=3524 Ack=436 Win=6432 Len=0
    271 7.240518000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [FIN, ACK] Seq=334 Ack=53577 Win=65535 Len=0
    272 7.241669000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    273 7.241979000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    274 7.242029000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=26534 Win=65535 Len=0
    275 7.242286000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    276 7.266864000    203.112.217.163       192.168.0.148         TCP      60     http > 55636 [ACK] Seq=16724 Ack=410 Win=6432 Len=0
    277 7.393477000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    278 7.393657000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    279 7.393685000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=29454 Win=65535 Len=0
    280 7.393716000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=30914 Win=65535 Len=0
    283 7.717110000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    284 7.717219000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    285 7.717370000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=33834 Win=65535 Len=0
    286 7.717568000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    287 7.717896000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    288 7.718006000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=36754 Win=65535 Len=0
    289 7.718154000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    290 7.718482000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    291 7.718558000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=39674 Win=65535 Len=0
    292 7.718777000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    293 7.719109000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    294 7.719201000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=42594 Win=65535 Len=0
    295 7.719379000    203.112.217.163       192.168.0.148         TCP      60     http > 55630 [ACK] Seq=53577 Ack=335 Win=6432 Len=0
    296 7.719696000    203.112.217.163       192.168.0.148         TCP      1514   [TCP Out-Of-Order] [TCP segment of a reassembled PDU]
    297 7.719756000    192.168.0.148         203.112.217.163       TCP      54     [TCP Dup ACK 294#1] 55634 > http [ACK] Seq=446 Ack=42594 Win=65535 Len=0
    298 7.720033000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    299 7.720326000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    300 7.720401000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=45514 Win=65535 Len=0
    301 7.720648000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    302 7.820834000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=46974 Win=65535 Len=0
    303 7.870632000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    304 7.870922000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    305 7.871140000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=49894 Win=65535 Len=0
    306 7.871237000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    307 7.871523000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    308 7.871610000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=52814 Win=65535 Len=0
    309 7.871843000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    310 8.022764000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=54274 Win=65535 Len=0
    311 8.197175000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    312 8.197341000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    313 8.197470000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=57194 Win=65535 Len=0
    314 8.197577000    203.112.217.163       192.168.0.148         HTTP     567    HTTP/1.1 200 OK  (text/css)
    315 8.197666000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=57708 Win=65535 Len=0
    316 8.198375000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [FIN, ACK] Seq=446 Ack=57708 Win=65535 Len=0
    319 8.582566000    192.168.0.148         203.112.217.163       TCP      78     55642 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351107600 TSecr=0 SACK_PERM=1
    324 8.585274000    192.168.0.148         203.112.217.163       TCP      78     55646 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351107602 TSecr=0 SACK_PERM=1
    325 8.585275000    192.168.0.148         203.112.217.163       TCP      78     55644 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351107602 TSecr=0 SACK_PERM=1
    326 8.585524000    192.168.0.148         203.112.217.163       TCP      78     55647 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351107602 TSecr=0 SACK_PERM=1
    327 8.585638000    192.168.0.148         203.112.217.163       TCP      78     55648 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351107602 TSecr=0 SACK_PERM=1
    328 8.585639000    192.168.0.148         203.112.217.163       TCP      78     55650 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351107602 TSecr=0 SACK_PERM=1
    341 8.674622000    203.112.217.163       192.168.0.148         TCP      60     http > 55634 [ACK] Seq=57708 Ack=447 Win=6432 Len=0
    347 9.079012000    203.112.217.163       192.168.0.148         TCP      60     http > 55642 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
    348 9.079072000    192.168.0.148         203.112.217.163       TCP      54     55642 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
    349 9.079132000    203.112.217.163       192.168.0.148         TCP      60     http > 55646 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
    350 9.079172000    192.168.0.148         203.112.217.163       TCP      54     55646 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
    352 9.080472000    192.168.0.148         203.112.217.163       HTTP     662    GET /templates/e_gov_tem_green/images/logo.jpg HTTP/1.1 
    353 9.081275000    192.168.0.148         203.112.217.163       HTTP     664    GET /templates/e_gov_tem_green/images/bg_top.jpg HTTP/1.1 
    355 9.083040000    192.168.0.148         203.112.217.163       TCP      78     55654 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351108091 TSecr=0 SACK_PERM=1
    356 9.086231000    203.112.217.163       192.168.0.148         TCP      60     http > 55650 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
    357 9.086327000    203.112.217.163       192.168.0.148         TCP      60     http > 55644 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
    358 9.086335000    192.168.0.148         203.112.217.163       TCP      54     55650 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
    359 9.086370000    192.168.0.148         203.112.217.163       TCP      54     55644 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
    360 9.087423000    192.168.0.148         203.112.217.163       HTTP     710    GET /modules/mod_dse_cse.ajax.php?more_text=More%20Info&read_more=0&link=http://www.dsebd.org/ HTTP/1.1 
    361 9.088336000    192.168.0.148         203.112.217.163       HTTP     667    GET /templates/e_gov_tem_green/images/header_bg.jpg HTTP/1.1 
    362 9.093602000    203.112.217.163       192.168.0.148         TCP      60     http > 55647 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
    363 9.093686000    192.168.0.148         203.112.217.163       TCP      54     55647 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
    364 9.094603000    192.168.0.148         203.112.217.163       HTTP     670    GET /templates/e_gov_tem_green/images/header_image.jpg HTTP/1.1 
    365 9.101922000    203.112.217.163       192.168.0.148         TCP      60     http > 55648 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
    366 9.102007000    192.168.0.148         203.112.217.163       TCP      54     55648 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
    367 9.102977000    192.168.0.148         203.112.217.163       HTTP     667    GET /templates/e_gov_tem_green/images/bg_bottom.jpg HTTP/1.1 
    419 9.556178000    203.112.217.163       192.168.0.148         TCP      60     http > 55646 [ACK] Seq=1 Ack=611 Win=6710 Len=0
    420 9.556959000    203.112.217.163       192.168.0.148         TCP      308    [TCP segment of a reassembled PDU]
    421 9.557026000    192.168.0.148         203.112.217.163       TCP      54     55646 > http [ACK] Seq=611 Ack=255 Win=65535 Len=0
    422 9.557706000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    423 9.557764000    203.112.217.163       192.168.0.148         TCP      60     http > 55654 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
    424 9.557814000    192.168.0.148         203.112.217.163       TCP      54     55654 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
    425 9.559445000    192.168.0.148         203.112.217.163       HTTP     591    GET /images/stories/logo_ebook.gif HTTP/1.1 
